Station,Year,Month,MaxT (Deg.Cel),MinT(Deg.Cel)
Dinajpur (10120),1970,1,23.87,10.82
Dinajpur (10120),1970,2,26.74,12.8
Dinajpur (10120),1970,3,32.11,18.23
Dinajpur (10120),1970,4,33.77,22.44
Dinajpur (10120),1970,5,34.17,24.98
Dinajpur (10120),1970,6,31.65,25.72
Dinajpur (10120),1970,7,31.44,26.02
Dinajpur (10120),1970,8,32.04,26.81
Dinajpur (10120),1970,9,31.32,25.84
Dinajpur (10120),1970,10,30.64,23.06
Dinajpur (10120),1970,11,28.5,16.63
Dinajpur (10120),1970,12,26.16,11.15
Dinajpur (10120),1971,1,24.25,10.62
Dinajpur (10120),1971,2,26.74,11.62
Dinajpur (10120),1971,3,31.64,16.51
Dinajpur (10120),1971,4,33.6,21.22
Dinajpur (10120),1971,5,32.69,23.47
Dinajpur (10120),1971,6,32.36,25.36
Dinajpur (10120),1971,7,31.76,25.9
Dinajpur (10120),1971,8,30.9,25.69
Dinajpur (10120),1971,9,31.62,25.33
Dinajpur (10120),1971,10,30.46,23.23
Dinajpur (10120),1971,11,27.84,16.41
Dinajpur (10120),1971,12,25.71,11.65
Dinajpur (10120),1972,1,25,10.79
Dinajpur (10120),1972,2,24.24,11.17
Dinajpur (10120),1972,3,32.7,16.68
Dinajpur (10120),1972,4,33.6,21.22
Dinajpur (10120),1972,5,32.69,23.47
Dinajpur (10120),1972,6,34.76,25.57
Dinajpur (10120),1972,7,33.55,26.35
Dinajpur (10120),1972,8,33.6,25.93
Dinajpur (10120),1972,9,33.81,25.39
Dinajpur (10120),1972,10,33.5,22.24
Dinajpur (10120),1972,11,31.23,16.13
Dinajpur (10120),1972,12,28.38,10.6
Dinajpur (10120),1973,1,24.3,10.39
Dinajpur (10120),1973,2,27.23,12.51
Dinajpur (10120),1973,3,31.77,17.05
Dinajpur (10120),1973,4,33.6,21.22
Dinajpur (10120),1973,5,32.69,23.47
Dinajpur (10120),1973,6,32.36,25.36
Dinajpur (10120),1973,7,31.76,25.9
Dinajpur (10120),1973,8,32,25.96
Dinajpur (10120),1973,9,31.81,25.13
Dinajpur (10120),1973,10,31.15,22.2
Dinajpur (10120),1973,11,28.86,16.3
Dinajpur (10120),1973,12,25.74,11.78
Dinajpur (10120),1974,1,24.3,10.39
Dinajpur (10120),1974,2,27.23,12.51
Dinajpur (10120),1974,3,31.77,17.05
Dinajpur (10120),1974,4,33.6,21.22
Dinajpur (10120),1974,5,32.69,23.47
Dinajpur (10120),1974,6,32.36,25.36
Dinajpur (10120),1974,7,31.76,25.9
Dinajpur (10120),1974,8,32,25.96
Dinajpur (10120),1974,9,31.81,25.13
Dinajpur (10120),1974,10,31.15,22.2
Dinajpur (10120),1974,11,28.86,16.3
Dinajpur (10120),1974,12,25.74,11.78
Dinajpur (10120),1975,1,24.3,10.39
Dinajpur (10120),1975,2,27.23,12.51
Dinajpur (10120),1975,3,31.77,17.05
Dinajpur (10120),1975,4,33.6,21.22
Dinajpur (10120),1975,5,32.69,23.47
Dinajpur (10120),1975,6,32.36,25.36
Dinajpur (10120),1975,7,31.76,25.9
Dinajpur (10120),1975,8,32,25.96
Dinajpur (10120),1975,9,31.81,25.13
Dinajpur (10120),1975,10,31.15,22.2
Dinajpur (10120),1975,11,28.86,16.3
Dinajpur (10120),1975,12,25.74,11.78
Dinajpur (10120),1976,1,24.3,10.39
Dinajpur (10120),1976,2,27.28,12.56
Dinajpur (10120),1976,3,31.77,17.05
Dinajpur (10120),1976,4,33.6,21.22
Dinajpur (10120),1976,5,32.69,23.47
Dinajpur (10120),1976,6,32.36,25.36
Dinajpur (10120),1976,7,31.76,25.9
Dinajpur (10120),1976,8,32,25.96
Dinajpur (10120),1976,9,31.81,25.13
Dinajpur (10120),1976,10,31.15,22.2
Dinajpur (10120),1976,11,28.86,16.3
Dinajpur (10120),1976,12,25.74,11.78
Dinajpur (10120),1977,1,24.3,10.39
Dinajpur (10120),1977,2,27.23,12.51
Dinajpur (10120),1977,3,31.77,17.05
Dinajpur (10120),1977,4,33.6,21.22
Dinajpur (10120),1977,5,32.69,23.47
Dinajpur (10120),1977,6,32.36,25.36
Dinajpur (10120),1977,7,31.76,25.9
Dinajpur (10120),1977,8,32,25.96
Dinajpur (10120),1977,9,31.81,25.13
Dinajpur (10120),1977,10,31.15,22.2
Dinajpur (10120),1977,11,28.86,16.3
Dinajpur (10120),1977,12,25.74,11.78
Dinajpur (10120),1978,1,24.3,10.39
Dinajpur (10120),1978,2,27.23,12.51
Dinajpur (10120),1978,3,31.77,17.05
Dinajpur (10120),1978,4,33.6,21.22
Dinajpur (10120),1978,5,32.69,23.47
Dinajpur (10120),1978,6,32.36,25.36
Dinajpur (10120),1978,7,31.76,25.9
Dinajpur (10120),1978,8,32,25.96
Dinajpur (10120),1978,9,31.81,25.13
Dinajpur (10120),1978,10,31.15,22.2
Dinajpur (10120),1978,11,28.86,16.3
Dinajpur (10120),1978,12,25.74,11.78
Dinajpur (10120),1979,1,24.3,10.39
Dinajpur (10120),1979,2,27.23,12.51
Dinajpur (10120),1979,3,31.77,17.05
Dinajpur (10120),1979,4,33.6,21.22
Dinajpur (10120),1979,5,32.69,23.47
Dinajpur (10120),1979,6,32.36,25.36
Dinajpur (10120),1979,7,31.76,25.9
Dinajpur (10120),1979,8,32,25.96
Dinajpur (10120),1979,9,31.81,25.13
Dinajpur (10120),1979,10,31.15,22.2
Dinajpur (10120),1979,11,28.86,16.3
Dinajpur (10120),1979,12,25.74,11.78
Dinajpur (10120),1980,1,23.71,10.53
Dinajpur (10120),1980,2,26.86,14.92
Dinajpur (10120),1980,3,30.41,17.16
Dinajpur (10120),1980,4,33.31,21.17
Dinajpur (10120),1980,5,32.41,23.53
Dinajpur (10120),1980,6,32.43,25.52
Dinajpur (10120),1980,7,31.66,25.97
Dinajpur (10120),1980,8,31.96,26.09
Dinajpur (10120),1980,9,31.47,25.21
Dinajpur (10120),1980,10,30.88,22.32
Dinajpur (10120),1980,11,28.8,16.65
Dinajpur (10120),1980,12,24.56,11.99
Dinajpur (10120),1981,1,24.22,10.5
Dinajpur (10120),1981,2,26.93,13.45
Dinajpur (10120),1981,3,31.55,17.23
Dinajpur (10120),1981,4,33.82,21.25
Dinajpur (10120),1981,5,32.44,23.61
Dinajpur (10120),1981,6,32.52,25.68
Dinajpur (10120),1981,7,31.93,26.14
Dinajpur (10120),1981,8,32.17,26.18
Dinajpur (10120),1981,9,31.83,25.26
Dinajpur (10120),1981,10,31.39,22.4
Dinajpur (10120),1981,11,28.99,16.54
Dinajpur (10120),1981,12,25.73,11.9
Dinajpur (10120),1982,1,25.59,11.04
Dinajpur (10120),1982,2,26.4,12.19
Dinajpur (10120),1982,3,30,16.15
Dinajpur (10120),1982,4,32.69,20.39
Dinajpur (10120),1982,5,36.43,23.72
Dinajpur (10120),1982,6,31.69,24.91
Dinajpur (10120),1982,7,31.72,25.59
Dinajpur (10120),1982,8,31.3,25.68
Dinajpur (10120),1982,9,32.16,25.09
Dinajpur (10120),1982,10,31.14,21.67
Dinajpur (10120),1982,11,27.51,15.98
Dinajpur (10120),1982,12,24.4,10.8
Dinajpur (10120),1983,1,22.97,8.93
Dinajpur (10120),1983,2,26.2,10.7
Dinajpur (10120),1983,3,31.19,16.41
Dinajpur (10120),1983,4,32.44,19.65
Dinajpur (10120),1983,5,31.06,22.36
Dinajpur (10120),1983,6,33.74,25.21
Dinajpur (10120),1983,7,32.02,25.4
Dinajpur (10120),1983,8,32.07,25.74
Dinajpur (10120),1983,9,30.84,25.03
Dinajpur (10120),1983,10,30.44,22.18
Dinajpur (10120),1983,11,29.05,15.62
Dinajpur (10120),1983,12,24.14,10.41
Dinajpur (10120),1984,1,22.49,9.79
Dinajpur (10120),1984,2,25.61,11.85
Dinajpur (10120),1984,3,32.11,16.65
Dinajpur (10120),1984,4,35.35,21.68
Dinajpur (10120),1984,5,30.22,22.95
Dinajpur (10120),1984,6,30.99,25.25
Dinajpur (10120),1984,7,30.92,25.04
Dinajpur (10120),1984,8,32.09,25.46
Dinajpur (10120),1984,9,30.64,24.08
Dinajpur (10120),1984,10,31.17,21.44
